"","PARK","BOROUGH","SIZE","CATEGORY","MURDER","RAPE","ROBBERY","FELONY_ASSAULT","BURGLARY","GRAND_LARCENY","GRAND_LARCENY__MOTOR","TOTAL","Year","Quarter"
"7370","HOMECREST PLAYGROUND","BROOKLYN     ",2.37,"ONE ACRE OR LARGER",0,0,0,1,0,1,0,2,2016,"Q3"
"7371","DE MATTI PLAYGROUND","STATEN ISLAND",2.34,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7372","POE PARK","BRONX        ",2.33,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7373","OVERLOOK PARK","QUEENS       ",2.33,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7374","BARUCH PLAYGROUND","MANHATTAN    ",2.32,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7375","FLOYD PATTERSON BALLFIELDS","BROOKLYN     ",2.3,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7376","OSBORN PLAYGROUND","BROOKLYN     ",2.3,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7377","RAILROAD PLAYGROUND","BROOKLYN     ",2.3,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7378","TRIBORO PLAZA","MANHATTAN    ",2.3,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7379","POWER PLAYGROUND","BROOKLYN     ",2.3,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7380","MONSIGNOR CRAWFORD FIELD","BROOKLYN     ",2.29,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7381","MARTIN LUTHER KING JR. PLAYGROUND","BROOKLYN     ",2.29,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7382","P.O. REINALDO SALGADO PLAYGROUND","BROOKLYN     ",2.29,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7383","CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD","STATEN ISLAND",2.29,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7384","CENTURY PLAYGROUND","BROOKLYN     ",2.28,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7385","SOUTH PACIFIC PLAYGROUND","BROOKLYN     ",2.26,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7386","NORTH SHORE ESPLANADE","STATEN ISLAND",2.25,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
